Which is the MOST important of the following concepts?	Love	good	Honor	lawful	Fairness	neutral	Pride	evil	Power	lawful	Money	evil	null	null	null	null	null	null	null	null
Which is the LEAST important of the following concepts?	Love	evil	Honor	chaotic	Fairness	evil	Pride	good	Power	chaotic good	Money	good	null	null	null	null	null	null	null	null
Society works best when there is a detailed justice system.	I agree	lawful	I disagree	chaotic	depends on the situation.	neutral	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Friendship and loyalty are far more important than the law	Yes, meaningful friendships outlast any law.	good	No, the law must come before my personal feelings, even if they are close relations.	lawful	Well of course!, my friends and I don't even know the law, he he he.	chaotic	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Doing the right thing is its own reward	Always, or else how would one choose what to do?	good	That all depends on what you mean by the term 'right'.	neutral	Without a reward, there is no point in doing anything!	evil	null	null	null	null	null	null	null	null	null	null	null	null	null	null
When the going gets tough, the tough eliminate the competition	No, that wouldn't be respectable	good	Well, if it balances the playing field, I suppose so.	neutral	Of course, all is fair in. . .  well, just about everything.	evil	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Crime never pays	True, true.	lawful	It might in the short run, but everything comes back around in the end.	neutral	Crime may not pay the victim, but I sure get rich!	chaotic	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Being spontaneous is far better than always planning things out	No, this only leads to confusion and inefficiency.	lawful	There is a time for everything	neutral	Spontanaity is the spice of life!	chaotic	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Where would you MOST like to live?	The big city, full of people, shops, bars, and all that urban goodness.  A place where you can be a part of something greater than yourself.	lawful good	Mountain Halls: deep, cavernous, and majestic, no rules but survival.	chaotic	A Small Village, with a few people and a handful of busniesses, where you can have some control.	lawful neutral	A monastery or temple, where you can provide for others, away from the politics of city life.	neutral good	null	null	null	null	null	null	null	null	null	null	null	null
Somebody plays a joke on you; what's your first reaction?	Laugh. Fun is fun, after all.	neutral good	Ignore them. Pranks are beneath me.	lawful	Get them back, but in a nice way.	neutral	Hurt, injure, or otherwise maim the bastard.	evil	null	null	null	null	null	null	null	null	null	null	null	null
What type of people would you MOST like to associate with?	Lawyers and Politicians	lawful	Judges and Merchants	neutral good	Minions and Servants	neutral good	Artists, Writers, Poets, or Priests	good	Me, Myself, and I (none of the above)	chaotic evil	null	null	null	null	null	null	null	null	null	null
While walking past a dark alley, you notice two thugs beating up a merchant, obviously intent on robbery. What do you do?	Kill them all and loot the bodies.	chaotic evil	Call the watch and let them handle it.	lawful neutral	Ignore them, the merchant might have deserved it.	true neutral	Try to fight them off, getting between the thugs and the merchant	good	null	null	null	null	null	null	null	null	null	null	null	null
By adventuring, I am primarily. . .	. . .just doing my part to put things right.	lawful	. . .rescuing the weak and helping the helpless.	good	. . .enjoying the thrill of the dangers faced.	chaotic	. . .acquiring wealth and power through this experience.	evil	null	null	null	null	null	null	null	null	null	null	null	null
Were I not fit for an adventuring class, I would most likely be. . .	a man-at-arms in a nearby castle.	lawful	a bandit raiding the countryside.	evil	an herbalist treating the sick.	good	a hermit living alone in the wilderness.	chaotic	null	null	null	null	null	null	null	null	null	null	null	null
My hero is. . .	Robin Hood.	chaotic good	King Arthur.	lawful good	Attilla the Hun.	chaotic evil	Darth Vader.	lawful evil	None of the above suit my taste, they are all to extreme for me.	neutral	null	null	null	null	null	null	null	null	null	null
I see myself more as. . .	. . .an honerable soldier.	lawful	. . .a beloved hero.	good	. . .a powerful adventurer.	chaotic	. . .a feared rogue.	evil	null	null	null	null	null	null	null	null	null	null	null	null
You find hidden treasure of several million gold coins. What do you do with them?	Shopping spree!	evil	Donate them to a temple.	chaotic good	Ask around about who's it might be, so you can spend it without arousing suspicion.	chaotic evil	Tell the guards in hope of a reward	lawful evil	Turn the money in anonymously.	lawful good	Invest in real estate or financial institutions.	lawful neutral	null	null	null	null	null	null	null	null
At the end of a successful venture,	I kill everyone and take all the loot.	evil	the party leaders divide the loot evenly and begin planning the next grand adventure.	lawful	I would look for ways to help others with my share of the rewards.	good	we part company, and I go enjoy a bit of peace my own way.	chaotic	null	null	null	null	null	null	null	null	null	null	null	null
Choose a statement that best fits your style.	Careful planning is the surest way to assure success.	lawful	Opportunities come to those flexible enough to grasp them.	chaotic	One should always be ready to help others.	good	Look out for number one.	evil	None of the above.	neutral	null	null	null	null	null	null	null	null	null	null
Choose the statement about which you feel strongly.	If people were truly free, crime would disappear.	chaotic good	Prosperity for all is only possible where crime is controlled.	lawful good	Government makes it possible for the best people to rise to the top.	lawful evil	The function of the police is to oppress those who are just trying to survive.	chaotic evil	Every government has its ups and downs and needs to be balanced with occasional opposition to remain so.	true neutral	null	null	null	null	null	null	null	null	null	null
I believe that. . .	. . .no creature can ever claim ownership of any other creature.	chaotic	. . .stronger creatures use slavery to take advantage of the weak.	good	. . .slavery is a reasonable solution to certain economic problems.	lawful	. . .some people deserve to be served by others.	evil	null	null	null	null	null	null	null	null	null	null	null	null
Concerning government, I feel that. . .	. . .the government which governs least governs best.	chaotic	. . .the one who always does good need not fear the law.	good	. . .without law, society would collapse.	lawful	. . .any situation can be made to work to one's own advantage.	evil	null	null	null	null	null	null	null	null	null	null	null	null
Concerning duty, I feel that. . .	. . .each of us has a duty to all of us.	good	. . .each of us has a duty to our country and its government.	lawful	. . .each of us has a duty to himself.	evil	. . .there is no duty common to all.	chaotic	null	null	null	null	null	null	null	null	null	null	null	null
