Spells Fire	This skill allows a character to learn and cast spells from or relating to the sphere of Fire.	FALSE	1	Permanent Spell Fire enable	1	Intelligence >= 10	2	
Spells Energy	This skill allows a character to learn and cast spells from or relating to the sphere of Energy.	FALSE	1	Permanent Spell Energy enable	1	Intelligence >= 10	2	
Spells Air	This skill allows a character to learn and cast spells from or relating to the sphere of Air.	FALSE	1	Permanent Spell Air enable	1	Intelligence >= 10	2	
Spells Life	This skill allows a character to learn and cast spells from or relating to the sphere of Life.	FALSE	1	Permanent Spell Life enable	1	Intelligence >= 10	2	
Spells Water	This skill allows a character to learn and cast spells from or relating to the sphere of Water.	FALSE	1	Permanent Spell Water enable	1	Intelligence >= 10	2	
Spells Nature	This skill allows a character to learn and cast spells from or relating to the sphere of Nature.	FALSE	1	Permanent Spell Nature enable	1	Intelligence >= 10	2	
Spells Earth	This skill allows a character to learn and cast spells from or relating to the sphere of Earth.	FALSE	1	Permanent Spell Earth enable	1	Intelligence >= 10	2	
Spells Death	This skill allows a character to learn and cast spells from or relating to the sphere of Death.	FALSE	1	Permanent Spell Death enable	1	Intelligence >= 10	2	
Feat: Mana Well	A character who relies on spells needs as much mana as possible.  By training in focus and meditation, a character can learn to absorb more mana from the energy nearby.  This skill gives an additional bonus point on top of the bonus provided by both Intelligence and Wisdom when determining total mana per level.	FALSE	1	Permanent level maxMP 1	1	Intelligence >= 13	2	
Feat: Mana Ascension	Truly becoming one with the energy of the world in which one lives may empower one to such an extent as to ascertain and further to bend the will of nature itself.  This skill gives an additional bonus to total mana per level.	FALSE	1	Permanent level maxMP 3	2	Intelligence >= 16	Feat: Mana Well	2
Feat: Mana Regeneration	Through the wisdom of natural and spiritual interaction, a character can improve the absorption speed of mana reserves.  This feat helps regenerate lost mana at a faster rate.	FALSE	1	Permanent Mana Regeneration 1	1	Wisdom >= 12	2	
Feat: Combat Casting	Any spellcaster knows the parel of having their spell cast disrupted.  Training to focus on their cast can avoid such distractions and succeed in their cast.  This skill grants a significant bonus to avoid their spell distruption.	FALSE	1	hit cast save 3	2	wisdom >= 14	constitution >= 10	2
Feat: Armored Casting	Adapting one's knowledge of energy manipulation to accomplished casting while wearing heavy armor takes specialized training of the will to focus and block the material interference.  This skill enables the character to block out up to 20 points of casting failure.	FALSE	1	Permanent CastingFailure bonus -20	1	Wisdom >= 13	2	
Feat: Greater Armored Casting	Further training one's willpower to overcome armored casting can make a wise sage a formidable battle ally.  This skill enables the character to block out an additional 30 points of casting failure.	FALSE	1	Permanent CastingFailure bonus -30	2	Wisdom >= 16	Feat: Armored Casting	2
